Time,LD_634/P1,LD_634/P2,LD_634/P3,LD_671/P1,LD_671/P2,LD_671/P3,LD_675/P1,LD_675/P2,LD_675/P3,LD_632/P1,LD_632/P2,LD_632/P3,LD_645/P1,LD_646/P1,LD_652/P1,LD_692/P1,LD_611/P1,LD_634/Q1,LD_634/Q2,LD_634/Q3,LD_671/Q1,LD_671/Q2,LD_671/Q3,LD_675/Q1,LD_675/Q2,LD_675/Q3,LD_632/Q1,LD_632/Q2,LD_632/Q3,LD_645/Q1,LD_646/Q1,LD_652/Q1,LD_692/Q1,LD_611/Q1
1,120.51,90.385,90.385,131.14,131.14,131.14,365.31,51.218,218.43,12.805,49.712,88.126,57.906,173.24,96.411,57.906,128.05,82.853,67.789,67.789,74.937,74.937,74.937,143.11,45.193,159.68,7.5321,28.622,51.218,42.578,99.424,64.776,51.434,60.257
2,120.02,90.016,90.016,134.73,134.73,134.73,363.81,51.009,217.54,12.752,49.509,87.765,59.492,172.53,96.017,59.492,127.52,82.514,67.512,67.512,76.99,76.99,76.99,142.52,45.008,159.03,7.5013,28.505,51.009,43.744,99.017,64.511,52.843,60.01
3,119.44,89.578,89.578,134.28,134.28,134.28,362.04,50.761,216.48,12.69,49.268,87.339,59.291,171.69,95.55,59.291,126.9,82.113,67.184,67.184,76.729,76.729,76.729,141.83,44.789,158.25,7.4648,28.366,50.761,43.596,98.536,64.198,52.664,59.719
4,118.85,89.14,89.14,134.34,134.34,134.34,360.28,50.513,215.42,12.628,49.027,86.912,59.318,170.85,95.083,59.318,126.28,81.712,66.855,66.855,76.765,76.765,76.765,141.14,44.57,157.48,7.4284,28.228,50.513,43.616,98.055,63.884,52.688,59.427
5,118.27,88.703,88.703,135.47,135.47,135.47,358.51,50.265,214.37,12.566,48.787,86.485,59.818,170.01,94.616,59.818,125.66,81.311,66.527,66.527,77.412,77.412,77.412,140.45,44.351,156.71,7.3919,28.089,50.265,43.984,97.573,63.57,53.133,59.135
6,117.69,88.265,88.265,141.75,141.75,141.75,356.74,50.017,213.31,12.504,48.546,86.059,62.591,169.17,94.15,62.591,125.04,80.91,66.199,66.199,81,81,81,139.75,44.133,155.94,7.3554,27.951,50.017,46.023,97.092,63.257,55.595,58.843
7,117.1,87.828,87.828,146.26,146.26,146.26,354.97,49.769,212.25,12.442,48.305,85.632,64.58,168.34,93.683,64.58,124.42,80.509,65.871,65.871,83.574,83.574,83.574,139.06,43.914,155.16,7.319,27.812,49.769,47.485,96.61,62.943,57.362,58.552
8,116.52,87.39,87.39,140.82,140.82,140.82,353.2,49.521,211.19,12.38,48.064,85.205,62.179,167.5,93.216,62.179,123.8,80.107,65.542,65.542,80.466,80.466,80.466,138.37,43.695,154.39,7.2825,27.673,49.521,45.72,96.129,62.629,55.229,58.26
9,115.94,86.952,86.952,140.52,140.52,140.52,351.43,49.273,210.13,12.318,47.824,84.779,62.048,166.66,92.749,62.048,123.18,79.706,65.214,65.214,80.297,80.297,80.297,137.67,43.476,153.62,7.246,27.535,49.273,45.623,95.648,62.316,55.113,57.968
10,115.91,86.932,86.932,139.98,139.98,139.98,351.35,49.262,210.09,12.315,47.813,84.759,61.808,166.62,92.728,61.808,123.15,79.688,65.199,65.199,79.987,79.987,79.987,137.64,43.466,153.58,7.2444,27.529,49.262,45.447,95.625,62.301,54.9,57.955
11,116.92,87.688,87.688,138.98,138.98,138.98,354.4,49.69,211.91,12.422,48.228,85.495,61.369,168.07,93.534,61.369,124.22,80.38,65.766,65.766,79.419,79.419,79.419,138.84,43.844,154.91,7.3073,27.768,49.69,45.124,96.456,62.843,54.51,58.458
12,117.92,88.443,88.443,131.26,131.26,131.26,357.46,50.118,213.74,12.529,48.644,86.232,57.959,169.52,94.339,57.959,125.29,81.073,66.332,66.332,75.006,75.006,75.006,140.03,44.222,156.25,7.3703,28.007,50.118,42.617,97.287,63.384,51.481,58.962
13,117.33,87.994,87.994,138.27,138.27,138.27,355.64,49.863,212.65,12.466,48.397,85.794,61.056,168.66,93.86,61.056,124.66,80.661,65.996,65.996,79.013,79.013,79.013,139.32,43.997,155.46,7.3328,27.865,49.863,44.894,96.794,63.062,54.232,58.663
