Time,LD_1/P1,LD_2/P1,LD_4/P1,LD_5/P1,LD_6/P1,LD_7/P1,LD_9/P1,LD_10/P1,LD_11/P1,LD_12/P1,LD_16/P1,LD_17/P1,LD_19/P1,LD_20/P1,LD_22/P1,LD_24/P1,LD_28/P1,LD_29/P1,LD_30/P1,LD_31/P1,LD_32/P1,LD_33/P1,LD_34/P1,LD_35/P1,LD_37/P1,LD_38/P1,LD_39/P1,LD_41/P1,LD_42/P1,LD_43/P1,LD_45/P1,LD_46/P1,LD_47/P1,LD_47/P2,LD_47/P3,LD_48/P1,LD_48/P2,LD_48/P3,LD_49/P1,LD_49/P2,LD_49/P3,LD_50/P1,LD_51/P1,LD_52/P1,LD_53/P1,LD_55/P1,LD_56/P1,LD_58/P1,LD_59/P1,LD_60/P1,LD_62/P1,LD_63/P1,LD_64/P1,LD_65/P1,LD_65/P2,LD_65/P3,LD_66/P1,LD_68/P1,LD_69/P1,LD_70/P1,LD_71/P1,LD_73/P1,LD_74/P1,LD_75/P1,LD_76/P1,LD_76/P2,LD_76/P3,LD_77/P1,LD_79/P1,LD_80/P1,LD_82/P1,LD_83/P1,LD_84/P1,LD_85/P1,LD_86/P1,LD_87/P1,LD_88/P1,LD_90/P1,LD_92/P1,LD_94/P1,LD_95/P1,LD_96/P1,LD_98/P1,LD_99/P1,LD_100/P1,LD_102/P1,LD_103/P1,LD_104/P1,LD_106/P1,LD_107/P1,LD_109/P1,LD_111/P1,LD_112/P1,LD_113/P1,LD_114/P1,LD_1/Q1,LD_2/Q1,LD_4/Q1,LD_5/Q1,LD_6/Q1,LD_7/Q1,LD_9/Q1,LD_10/Q1,LD_11/Q1,LD_12/Q1,LD_16/Q1,LD_17/Q1,LD_19/Q1,LD_20/Q1,LD_22/Q1,LD_24/Q1,LD_28/Q1,LD_29/Q1,LD_30/Q1,LD_31/Q1,LD_32/Q1,LD_33/Q1,LD_34/Q1,LD_35/Q1,LD_37/Q1,LD_38/Q1,LD_39/Q1,LD_41/Q1,LD_42/Q1,LD_43/Q1,LD_45/Q1,LD_46/Q1,LD_47/Q1,LD_47/Q2,LD_47/Q3,LD_48/Q1,LD_48/Q2,LD_48/Q3,LD_49/Q1,LD_49/Q2,LD_49/Q3,LD_50/Q1,LD_51/Q1,LD_52/Q1,LD_53/Q1,LD_55/Q1,LD_56/Q1,LD_58/Q1,LD_59/Q1,LD_60/Q1,LD_62/Q1,LD_63/Q1,LD_64/Q1,LD_65/Q1,LD_65/Q2,LD_65/Q3,LD_66/Q1,LD_68/Q1,LD_69/Q1,LD_70/Q1,LD_71/Q1,LD_73/Q1,LD_74/Q1,LD_75/Q1,LD_76/Q1,LD_76/Q2,LD_76/Q3,LD_77/Q1,LD_79/Q1,LD_80/Q1,LD_82/Q1,LD_83/Q1,LD_84/Q1,LD_85/Q1,LD_86/Q1,LD_87/Q1,LD_88/Q1,LD_90/Q1,LD_92/Q1,LD_94/Q1,LD_95/Q1,LD_96/Q1,LD_98/Q1,LD_99/Q1,LD_100/Q1,LD_102/Q1,LD_103/Q1,LD_104/Q1,LD_106/Q1,LD_107/Q1,LD_109/Q1,LD_111/Q1,LD_112/Q1,LD_113/Q1,LD_114/Q1
1,8.2645,2.0437,8.2645,4.1323,4.0875,4.1323,8.2645,2.0437,8.2645,4.1323,4.0875,4.1323,8.2645,4.0875,8.2645,8.2645,4.0875,8.2645,8.2645,2.0437,4.1323,8.2645,4.0875,8.2645,8.2645,2.0437,4.1323,4.1323,2.0437,8.2645,4.1323,2.0437,7.2315,7.2315,7.2315,14.463,14.463,14.463,3.5765,7.1531,3.5765,8.2645,4.1323,4.0875,8.2645,4.1323,2.0437,4.1323,4.1323,2.0437,8.2645,8.2645,7.664,7.2315,7.2315,14.463,15.496,2.0437,8.2645,4.1323,4.0875,8.2645,8.2645,4.0875,21.694,14.463,14.463,8.2645,4.0875,8.2645,8.2645,2.0437,4.1323,8.2645,2.0437,8.2645,8.2645,4.0875,8.2645,8.2645,2.0437,4.1323,8.2645,4.0875,8.2645,4.1323,4.0875,8.2645,8.2645,4.0875,8.2645,4.1323,2.0437,8.2645,4.1323,4.1323,1.0219,4.1323,2.0661,2.0437,2.0661,4.1323,1.0219,4.1323,2.0661,2.0437,2.0661,4.1323,2.0437,4.1323,4.1323,2.0437,4.1323,4.1323,1.0219,2.0661,4.1323,2.0437,4.1323,4.1323,1.0219,2.0661,2.0661,1.0219,4.1323,2.0661,1.0219,5.1653,5.1653,5.1653,10.331,10.331,10.331,2.5547,5.1093,2.0437,4.1323,2.0661,2.0437,4.1323,2.0661,1.0219,2.0661,2.0661,1.0219,4.1323,4.1323,3.5765,5.1653,5.1653,10.331,7.2315,1.0219,4.1323,2.0661,2.0437,4.1323,4.1323,2.0437,16.529,10.331,10.331,4.1323,2.0437,4.1323,4.1323,1.0219,2.0661,4.1323,1.0219,4.1323,4.1323,2.0437,4.1323,4.1323,1.0219,2.0661,4.1323,2.0437,4.1323,2.0661,2.0437,4.1323,4.1323,2.0437,4.1323,2.0661,1.0219,4.1323,2.0661
2,8.2585,2.0997,8.2585,4.1293,4.1994,4.1293,8.2585,2.0997,8.2585,4.1293,4.1994,4.1293,8.2585,4.1994,8.2585,8.2585,4.1994,8.2585,8.2585,2.0997,4.1293,8.2585,4.1994,8.2585,8.2585,2.0997,4.1293,4.1293,2.0997,8.2585,4.1293,2.0997,7.2262,7.2262,7.2262,14.452,14.452,14.452,3.6745,7.349,3.6745,8.2585,4.1293,4.1994,8.2585,4.1293,2.0997,4.1293,4.1293,2.0997,8.2585,8.2585,7.874,7.2262,7.2262,14.452,15.485,2.0997,8.2585,4.1293,4.1994,8.2585,8.2585,4.1994,21.679,14.452,14.452,8.2585,4.1994,8.2585,8.2585,2.0997,4.1293,8.2585,2.0997,8.2585,8.2585,4.1994,8.2585,8.2585,2.0997,4.1293,8.2585,4.1994,8.2585,4.1293,4.1994,8.2585,8.2585,4.1994,8.2585,4.1293,2.0997,8.2585,4.1293,4.1293,1.0499,4.1293,2.0646,2.0997,2.0646,4.1293,1.0499,4.1293,2.0646,2.0997,2.0646,4.1293,2.0997,4.1293,4.1293,2.0997,4.1293,4.1293,1.0499,2.0646,4.1293,2.0997,4.1293,4.1293,1.0499,2.0646,2.0646,1.0499,4.1293,2.0646,1.0499,5.1616,5.1616,5.1616,10.323,10.323,10.323,2.6247,5.2493,2.0997,4.1293,2.0646,2.0997,4.1293,2.0646,1.0499,2.0646,2.0646,1.0499,4.1293,4.1293,3.6745,5.1616,5.1616,10.323,7.2262,1.0499,4.1293,2.0646,2.0997,4.1293,4.1293,2.0997,16.517,10.323,10.323,4.1293,2.0997,4.1293,4.1293,1.0499,2.0646,4.1293,1.0499,4.1293,4.1293,2.0997,4.1293,4.1293,1.0499,2.0646,4.1293,2.0997,4.1293,2.0646,2.0997,4.1293,4.1293,2.0997,4.1293,2.0646,1.0499,4.1293,2.0646
3,8.2423,2.0926,8.2423,4.1212,4.1852,4.1212,8.2423,2.0926,8.2423,4.1212,4.1852,4.1212,8.2423,4.1852,8.2423,8.2423,4.1852,8.2423,8.2423,2.0926,4.1212,8.2423,4.1852,8.2423,8.2423,2.0926,4.1212,4.1212,2.0926,8.2423,4.1212,2.0926,7.212,7.212,7.212,14.424,14.424,14.424,3.6621,7.3241,3.6621,8.2423,4.1212,4.1852,8.2423,4.1212,2.0926,4.1212,4.1212,2.0926,8.2423,8.2423,7.8473,7.212,7.212,14.424,15.454,2.0926,8.2423,4.1212,4.1852,8.2423,8.2423,4.1852,21.636,14.424,14.424,8.2423,4.1852,8.2423,8.2423,2.0926,4.1212,8.2423,2.0926,8.2423,8.2423,4.1852,8.2423,8.2423,2.0926,4.1212,8.2423,4.1852,8.2423,4.1212,4.1852,8.2423,8.2423,4.1852,8.2423,4.1212,2.0926,8.2423,4.1212,4.1212,1.0463,4.1212,2.0606,2.0926,2.0606,4.1212,1.0463,4.1212,2.0606,2.0926,2.0606,4.1212,2.0926,4.1212,4.1212,2.0926,4.1212,4.1212,1.0463,2.0606,4.1212,2.0926,4.1212,4.1212,1.0463,2.0606,2.0606,1.0463,4.1212,2.0606,1.0463,5.1514,5.1514,5.1514,10.303,10.303,10.303,2.6158,5.2315,2.0926,4.1212,2.0606,2.0926,4.1212,2.0606,1.0463,2.0606,2.0606,1.0463,4.1212,4.1212,3.6621,5.1514,5.1514,10.303,7.212,1.0463,4.1212,2.0606,2.0926,4.1212,4.1212,2.0926,16.485,10.303,10.303,4.1212,2.0926,4.1212,4.1212,1.0463,2.0606,4.1212,1.0463,4.1212,4.1212,2.0926,4.1212,4.1212,1.0463,2.0606,4.1212,2.0926,4.1212,2.0606,2.0926,4.1212,4.1212,2.0926,4.1212,2.0606,1.0463,4.1212,2.0606
4,8.1868,2.0936,8.1868,4.0934,4.1872,4.0934,8.1868,2.0936,8.1868,4.0934,4.1872,4.0934,8.1868,4.1872,8.1868,8.1868,4.1872,8.1868,8.1868,2.0936,4.0934,8.1868,4.1872,8.1868,8.1868,2.0936,4.0934,4.0934,2.0936,8.1868,4.0934,2.0936,7.1634,7.1634,7.1634,14.327,14.327,14.327,3.6638,7.3275,3.6638,8.1868,4.0934,4.1872,8.1868,4.0934,2.0936,4.0934,4.0934,2.0936,8.1868,8.1868,7.8509,7.1634,7.1634,14.327,15.35,2.0936,8.1868,4.0934,4.1872,8.1868,8.1868,4.1872,21.49,14.327,14.327,8.1868,4.1872,8.1868,8.1868,2.0936,4.0934,8.1868,2.0936,8.1868,8.1868,4.1872,8.1868,8.1868,2.0936,4.0934,8.1868,4.1872,8.1868,4.0934,4.1872,8.1868,8.1868,4.1872,8.1868,4.0934,2.0936,8.1868,4.0934,4.0934,1.0468,4.0934,2.0467,2.0936,2.0467,4.0934,1.0468,4.0934,2.0467,2.0936,2.0467,4.0934,2.0936,4.0934,4.0934,2.0936,4.0934,4.0934,1.0468,2.0467,4.0934,2.0936,4.0934,4.0934,1.0468,2.0467,2.0467,1.0468,4.0934,2.0467,1.0468,5.1167,5.1167,5.1167,10.233,10.233,10.233,2.617,5.2339,2.0936,4.0934,2.0467,2.0936,4.0934,2.0467,1.0468,2.0467,2.0467,1.0468,4.0934,4.0934,3.6638,5.1167,5.1167,10.233,7.1634,1.0468,4.0934,2.0467,2.0936,4.0934,4.0934,2.0936,16.374,10.233,10.233,4.0934,2.0936,4.0934,4.0934,1.0468,2.0467,4.0934,1.0468,4.0934,4.0934,2.0936,4.0934,4.0934,1.0468,2.0467,4.0934,2.0936,4.0934,2.0467,2.0936,4.0934,4.0934,2.0936,4.0934,2.0467,1.0468,4.0934,2.0467
5,8.2198,2.1112,8.2198,4.1099,4.2225,4.1099,8.2198,2.1112,8.2198,4.1099,4.2225,4.1099,8.2198,4.2225,8.2198,8.2198,4.2225,8.2198,8.2198,2.1112,4.1099,8.2198,4.2225,8.2198,8.2198,2.1112,4.1099,4.1099,2.1112,8.2198,4.1099,2.1112,7.1923,7.1923,7.1923,14.385,14.385,14.385,3.6947,7.3893,3.6947,8.2198,4.1099,4.2225,8.2198,4.1099,2.1112,4.1099,4.1099,2.1112,8.2198,8.2198,7.9171,7.1923,7.1923,14.385,15.412,2.1112,8.2198,4.1099,4.2225,8.2198,8.2198,4.2225,21.577,14.385,14.385,8.2198,4.2225,8.2198,8.2198,2.1112,4.1099,8.2198,2.1112,8.2198,8.2198,4.2225,8.2198,8.2198,2.1112,4.1099,8.2198,4.2225,8.2198,4.1099,4.2225,8.2198,8.2198,4.2225,8.2198,4.1099,2.1112,8.2198,4.1099,4.1099,1.0556,4.1099,2.055,2.1112,2.055,4.1099,1.0556,4.1099,2.055,2.1112,2.055,4.1099,2.1112,4.1099,4.1099,2.1112,4.1099,4.1099,1.0556,2.055,4.1099,2.1112,4.1099,4.1099,1.0556,2.055,2.055,1.0556,4.1099,2.055,1.0556,5.1374,5.1374,5.1374,10.275,10.275,10.275,2.639,5.2781,2.1112,4.1099,2.055,2.1112,4.1099,2.055,1.0556,2.055,2.055,1.0556,4.1099,4.1099,3.6947,5.1374,5.1374,10.275,7.1923,1.0556,4.1099,2.055,2.1112,4.1099,4.1099,2.1112,16.44,10.275,10.275,4.1099,2.1112,4.1099,4.1099,1.0556,2.055,4.1099,1.0556,4.1099,4.1099,2.1112,4.1099,4.1099,1.0556,2.055,4.1099,2.1112,4.1099,2.055,2.1112,4.1099,4.1099,2.1112,4.1099,2.055,1.0556,4.1099,2.055
6,8.2528,2.2091,8.2528,4.1264,4.4182,4.1264,8.2528,2.2091,8.2528,4.1264,4.4182,4.1264,8.2528,4.4182,8.2528,8.2528,4.4182,8.2528,8.2528,2.2091,4.1264,8.2528,4.4182,8.2528,8.2528,2.2091,4.1264,4.1264,2.2091,8.2528,4.1264,2.2091,7.2212,7.2212,7.2212,14.442,14.442,14.442,3.8659,7.7318,3.8659,8.2528,4.1264,4.4182,8.2528,4.1264,2.2091,4.1264,4.1264,2.2091,8.2528,8.2528,8.2841,7.2212,7.2212,14.442,15.474,2.2091,8.2528,4.1264,4.4182,8.2528,8.2528,4.4182,21.664,14.442,14.442,8.2528,4.4182,8.2528,8.2528,2.2091,4.1264,8.2528,2.2091,8.2528,8.2528,4.4182,8.2528,8.2528,2.2091,4.1264,8.2528,4.4182,8.2528,4.1264,4.4182,8.2528,8.2528,4.4182,8.2528,4.1264,2.2091,8.2528,4.1264,4.1264,1.1045,4.1264,2.0632,2.2091,2.0632,4.1264,1.1045,4.1264,2.0632,2.2091,2.0632,4.1264,2.2091,4.1264,4.1264,2.2091,4.1264,4.1264,1.1045,2.0632,4.1264,2.2091,4.1264,4.1264,1.1045,2.0632,2.0632,1.1045,4.1264,2.0632,1.1045,5.158,5.158,5.158,10.316,10.316,10.316,2.7614,5.5227,2.2091,4.1264,2.0632,2.2091,4.1264,2.0632,1.1045,2.0632,2.0632,1.1045,4.1264,4.1264,3.8659,5.158,5.158,10.316,7.2212,1.1045,4.1264,2.0632,2.2091,4.1264,4.1264,2.2091,16.506,10.316,10.316,4.1264,2.2091,4.1264,4.1264,1.1045,2.0632,4.1264,1.1045,4.1264,4.1264,2.2091,4.1264,4.1264,1.1045,2.0632,4.1264,2.2091,4.1264,2.0632,2.2091,4.1264,4.1264,2.2091,4.1264,2.0632,1.1045,4.1264,2.0632
7,8.2859,2.2793,8.2859,4.1429,4.5586,4.1429,8.2859,2.2793,8.2859,4.1429,4.5586,4.1429,8.2859,4.5586,8.2859,8.2859,4.5586,8.2859,8.2859,2.2793,4.1429,8.2859,4.5586,8.2859,8.2859,2.2793,4.1429,4.1429,2.2793,8.2859,4.1429,2.2793,7.2501,7.2501,7.2501,14.5,14.5,14.5,3.9888,7.9775,3.9888,8.2859,4.1429,4.5586,8.2859,4.1429,2.2793,4.1429,4.1429,2.2793,8.2859,8.2859,8.5474,7.2501,7.2501,14.5,15.536,2.2793,8.2859,4.1429,4.5586,8.2859,8.2859,4.5586,21.75,14.5,14.5,8.2859,4.5586,8.2859,8.2859,2.2793,4.1429,8.2859,2.2793,8.2859,8.2859,4.5586,8.2859,8.2859,2.2793,4.1429,8.2859,4.5586,8.2859,4.1429,4.5586,8.2859,8.2859,4.5586,8.2859,4.1429,2.2793,8.2859,4.1429,4.1429,1.1396,4.1429,2.0715,2.2793,2.0715,4.1429,1.1396,4.1429,2.0715,2.2793,2.0715,4.1429,2.2793,4.1429,4.1429,2.2793,4.1429,4.1429,1.1396,2.0715,4.1429,2.2793,4.1429,4.1429,1.1396,2.0715,2.0715,1.1396,4.1429,2.0715,1.1396,5.1787,5.1787,5.1787,10.357,10.357,10.357,2.8491,5.6982,2.2793,4.1429,2.0715,2.2793,4.1429,2.0715,1.1396,2.0715,2.0715,1.1396,4.1429,4.1429,3.9888,5.1787,5.1787,10.357,7.2501,1.1396,4.1429,2.0715,2.2793,4.1429,4.1429,2.2793,16.572,10.357,10.357,4.1429,2.2793,4.1429,4.1429,1.1396,2.0715,4.1429,1.1396,4.1429,4.1429,2.2793,4.1429,4.1429,1.1396,2.0715,4.1429,2.2793,4.1429,2.0715,2.2793,4.1429,4.1429,2.2793,4.1429,2.0715,1.1396,4.1429,2.0715
8,8.3189,2.1945,8.3189,4.1595,4.3891,4.1595,8.3189,2.1945,8.3189,4.1595,4.3891,4.1595,8.3189,4.3891,8.3189,8.3189,4.3891,8.3189,8.3189,2.1945,4.1595,8.3189,4.3891,8.3189,8.3189,2.1945,4.1595,4.1595,2.1945,8.3189,4.1595,2.1945,7.279,7.279,7.279,14.558,14.558,14.558,3.8404,7.6809,3.8404,8.3189,4.1595,4.3891,8.3189,4.1595,2.1945,4.1595,4.1595,2.1945,8.3189,8.3189,8.2295,7.279,7.279,14.558,15.598,2.1945,8.3189,4.1595,4.3891,8.3189,8.3189,4.3891,21.837,14.558,14.558,8.3189,4.3891,8.3189,8.3189,2.1945,4.1595,8.3189,2.1945,8.3189,8.3189,4.3891,8.3189,8.3189,2.1945,4.1595,8.3189,4.3891,8.3189,4.1595,4.3891,8.3189,8.3189,4.3891,8.3189,4.1595,2.1945,8.3189,4.1595,4.1595,1.0973,4.1595,2.0797,2.1945,2.0797,4.1595,1.0973,4.1595,2.0797,2.1945,2.0797,4.1595,2.1945,4.1595,4.1595,2.1945,4.1595,4.1595,1.0973,2.0797,4.1595,2.1945,4.1595,4.1595,1.0973,2.0797,2.0797,1.0973,4.1595,2.0797,1.0973,5.1993,5.1993,5.1993,10.399,10.399,10.399,2.7432,5.4863,2.1945,4.1595,2.0797,2.1945,4.1595,2.0797,1.0973,2.0797,2.0797,1.0973,4.1595,4.1595,3.8404,5.1993,5.1993,10.399,7.279,1.0973,4.1595,2.0797,2.1945,4.1595,4.1595,2.1945,16.638,10.399,10.399,4.1595,2.1945,4.1595,4.1595,1.0973,2.0797,4.1595,1.0973,4.1595,4.1595,2.1945,4.1595,4.1595,1.0973,2.0797,4.1595,2.1945,4.1595,2.0797,2.1945,4.1595,4.1595,2.1945,4.1595,2.0797,1.0973,4.1595,2.0797
9,8.3519,2.1899,8.3519,4.176,4.3798,4.176,8.3519,2.1899,8.3519,4.176,4.3798,4.176,8.3519,4.3798,8.3519,8.3519,4.3798,8.3519,8.3519,2.1899,4.176,8.3519,4.3798,8.3519,8.3519,2.1899,4.176,4.176,2.1899,8.3519,4.176,2.1899,7.3079,7.3079,7.3079,14.616,14.616,14.616,3.8324,7.6647,3.8324,8.3519,4.176,4.3798,8.3519,4.176,2.1899,4.176,4.176,2.1899,8.3519,8.3519,8.2122,7.3079,7.3079,14.616,15.66,2.1899,8.3519,4.176,4.3798,8.3519,8.3519,4.3798,21.924,14.616,14.616,8.3519,4.3798,8.3519,8.3519,2.1899,4.176,8.3519,2.1899,8.3519,8.3519,4.3798,8.3519,8.3519,2.1899,4.176,8.3519,4.3798,8.3519,4.176,4.3798,8.3519,8.3519,4.3798,8.3519,4.176,2.1899,8.3519,4.176,4.176,1.095,4.176,2.088,2.1899,2.088,4.176,1.095,4.176,2.088,2.1899,2.088,4.176,2.1899,4.176,4.176,2.1899,4.176,4.176,1.095,2.088,4.176,2.1899,4.176,4.176,1.095,2.088,2.088,1.095,4.176,2.088,1.095,5.22,5.22,5.22,10.44,10.44,10.44,2.7374,5.4748,2.1899,4.176,2.088,2.1899,4.176,2.088,1.095,2.088,2.088,1.095,4.176,4.176,3.8324,5.22,5.22,10.44,7.3079,1.095,4.176,2.088,2.1899,4.176,4.176,2.1899,16.704,10.44,10.44,4.176,2.1899,4.176,4.176,1.095,2.088,4.176,1.095,4.176,4.176,2.1899,4.176,4.176,1.095,2.088,4.176,2.1899,4.176,2.088,2.1899,4.176,4.176,2.1899,4.176,2.088,1.095,4.176,2.088
10,8.3312,2.1815,8.3312,4.1656,4.3629,4.1656,8.3312,2.1815,8.3312,4.1656,4.3629,4.1656,8.3312,4.3629,8.3312,8.3312,4.3629,8.3312,8.3312,2.1815,4.1656,8.3312,4.3629,8.3312,8.3312,2.1815,4.1656,4.1656,2.1815,8.3312,4.1656,2.1815,7.2898,7.2898,7.2898,14.58,14.58,14.58,3.8176,7.6351,3.8176,8.3312,4.1656,4.3629,8.3312,4.1656,2.1815,4.1656,4.1656,2.1815,8.3312,8.3312,8.1805,7.2898,7.2898,14.58,15.621,2.1815,8.3312,4.1656,4.3629,8.3312,8.3312,4.3629,21.869,14.58,14.58,8.3312,4.3629,8.3312,8.3312,2.1815,4.1656,8.3312,2.1815,8.3312,8.3312,4.3629,8.3312,8.3312,2.1815,4.1656,8.3312,4.3629,8.3312,4.1656,4.3629,8.3312,8.3312,4.3629,8.3312,4.1656,2.1815,8.3312,4.1656,4.1656,1.0907,4.1656,2.0828,2.1815,2.0828,4.1656,1.0907,4.1656,2.0828,2.1815,2.0828,4.1656,2.1815,4.1656,4.1656,2.1815,4.1656,4.1656,1.0907,2.0828,4.1656,2.1815,4.1656,4.1656,1.0907,2.0828,2.0828,1.0907,4.1656,2.0828,1.0907,5.207,5.207,5.207,10.414,10.414,10.414,2.7268,5.4536,2.1815,4.1656,2.0828,2.1815,4.1656,2.0828,1.0907,2.0828,2.0828,1.0907,4.1656,4.1656,3.8176,5.207,5.207,10.414,7.2898,1.0907,4.1656,2.0828,2.1815,4.1656,4.1656,2.1815,16.662,10.414,10.414,4.1656,2.1815,4.1656,4.1656,1.0907,2.0828,4.1656,1.0907,4.1656,4.1656,2.1815,4.1656,4.1656,1.0907,2.0828,4.1656,2.1815,4.1656,2.0828,2.1815,4.1656,4.1656,2.1815,4.1656,2.0828,1.0907,4.1656,2.0828
